Ecole_BID,Chaires
B00587891,"Chaire Media & Entertainement,,,"
B00718980,"Chaire Digital Disruption,,,"
B00604889,"Chaire Media & Entertainement,,,"
B00604894,",,,"
B00694033,"Accenture Bus Analytics Chair,Chaire Leadership & Diversity,,"
B00604946,"Filière Agri Food,,,"
B00721976,"Filière conseil en stratégie,,,"
B00695327,"ESSEC Chaires et Filières,,,"
B00674432,"Chaire LVMH,Chaire Vente Stratégie Market.,,"
B00692257,",,,"
B00529403,"ESSEC Chaires et Filières,,,"
B00624480,"Cursus Expertise Comptable,Filière Négoc Gouvernance Int,,"
B00605155,",,,"
B00605159,"Filière conseil en stratégie,,,"
B00701862,"Chair Therapeutic Innovation,ESSEC Chaires et Filières,,"
B00695116,"Chaire Vente Stratégie Market.,,,"
B00684765,"Chaire Digital Disruption,Chaire Leadership & Diversity,,"
B00715160,"ESSEC Chaires et Filières,,,"
B00672797,"Chaire Immob. Dévt. durable,ESSEC Chaires et Filières,Filière Immobilier-RICS,"
B00693257,"Chaire Grande Consommation,,,"
B00605262,",,,"
B00471089,"Ch Mgmt Savoir-Faire Exception,,,"
B00529583,",,,"
B00605301,"Chaire Immob. Dévt. durable,ESSEC Chaires et Filières,Filière Immobilier-RICS,"
B00605344,"ESSEC Chaires et Filières,Filière conseil en stratégie,,"
B00604962,",,,"
B00220845,"ESSEC Chaires et Filières,,,"
B00698294,",,,"
B00751247,"Accenture Bus Analytics Chair,,,"
B00605108,",,,"
B00605021,"ESSEC Chaires et Filières,Filière Agri Food,,"
B00715161,",,,"
B00674885,"Accenture Bus Analytics Chair,Filière Agri Food,,"
B00605049,"Filière conseil en stratégie,,,"
B00605065,",,,"
B00676908,",,,"
B00714324,"Chaire Media & Entertainement,,,"
B00605442,"Chaire Grande Consommation,,,"
B00689844,",,,"
B00690304,"Ch Mgmt Savoir-Faire Exception,,,"
B00698027,"Chaire Int. Marketing Sportif,ESSEC Chaires et Filières,,"
B00661766,",,,"
B00713088,"ESSEC Chaires et Filières,,,"
B00715446,"Accenture Bus Analytics Chair,Fil Business Analytics Methods,,"
B00674703,"Chaire LVMH,,,"
B00716643,",,,"
B00529927,"ESSEC Chaires et Filières,,,"
B00529939,",,,"
B00410105,"ESSEC Chaires et Filières,,,"
B00675127,",,,"
B00715162,",,,"
B00693489,"Chaire Digital Disruption,Chaire Vente Stratégie Market.,,"
B00680246,"Accenture Bus Analytics Chair,,,"
B00317970,"ESSEC Chaires et Filières,,,"
B00593233,"ESSEC Chaires et Filières,,,"
B00684538,"Chaire Immob. Dévt. durable,,Filière Immobilier-RICS,"
B00695858,"Accenture Bus Analytics Chair,Chaire Entrepreneuriat Social,,"
B00696114,"Ch Mgmt Savoir-Faire Exception,,,"
B00605411,"Chaire Economie Urbaine,,,"
B00674720,"ESSEC Chaires et Filières,,,"
B00690220,",,,"
B00687778,",,,"
B00411767,"ESSEC Chaires et Filières,,,"
B00530678,",,,"
B00718885,"Cursus Expertise Comptable,,,"
B00530838,",,,"
B00606306,",,,"
B00606365,",,,"
B00531006,"Accenture Bus Analytics Chair,Chaire Leadership & Diversity,,"
B00634222,"Chaire Vente Stratégie Market.,Filière conseil en stratégie,,"
B00675898,",,,"
B00324080,"ESSEC Chaires et Filières,,,"
B00606543,"Chair Therapeutic Innovation,,,"
B00575547,"ESSEC Chaires et Filières,,,"
B00606564,",,,"
B00594512,"Chaire Economie Urbaine,,,"
B00676568,"ESSEC Chaires et Filières,Filière Agri Food,Fil Business Analytics Methods,"
B00689367,",,,"
B00606266,"ESSEC Chaires et Filières,Filière Agri Food,,"
B00747796,"ESSEC Chaires et Filières,,,"
B00530877,",,,"
B00503832,"Chaire Digital Disruption,ESSEC Chaires et Filières,,"
B00668110,",,,"
B00677574,",,,"
B00677511,",,,"
B00718625,"Filière Sport Business,,,"
B00606722,",,,"
B00684596,"ESSEC Chaires et Filières,,,"
B00676824,",,,"
B00611586,"Filière conseil en stratégie,,,"
B00674221,"ESSEC Chaires et Filières,,,"
B00673896,"Accenture Bus Analytics Chair,,,"
B00675543,"ESSEC Chaires et Filières,,,"
B00676819,"ESSEC Chaires et Filières,,,"
B00531569,"ESSEC Chaires et Filières,,,"
B00652699,"Chaire LVMH,,,"
B00677021,"ESSEC Chaires et Filières,Filières comptables,,"
B00674669,",,,"
B00693632,"Chaire Vente Stratégie Market.,,,"
B00660073,",,,"
B00659228,",,,"
B00658379,"ESSEC Chaires et Filières,,,"
B00644984,"Chair Therapeutic Innovation,,,"
B00653758,"Filière Agri Food,,,"
B00720147,"Accenture Bus Analytics Chair,,,"
B00607164,"Accenture Bus Analytics Chair,,,"
B00531635,",,,"
