Ecole_BID,Chaires
B00698766,"Chaire Grande Consommation,,,"
B00696248,"Chaire Leadership & Diversity,Chaire Int. Marketing Sportif,ESSEC Chaires et Filières,"
B00684827,"Filière Négoc Gouvernance Int,,,"
B00604459,"Chaire Immob. Dévt. durable,ESSEC Chaires et Filières,Filière conseil en stratégie,"
B00604465,",,,"
B00684751,"Chaire Entrepreneuriat Social,,,"
B00418300,"Accenture Bus Analytics Chair,Chaire Vente Stratégie Market.,,"
B00696325,",,,"
B00530959,"Chaire Leadership & Diversity,,,"
B00684996,",,,"
B00697838,"Chaire Economie Urbaine,,,"
B00561362,"Chaire ESSEC Santé,,,"
B00527824,"Filière conseil en stratégie,,,"
B00464272,"Chaire Entrepreneuriat Social,,,"
B00606958,"Accenture Bus Analytics Chair,Chaire Media & Entertainement,,"
B00685906,"Chaire Grande Consommation,,,"
B00633101,"ESSEC Chaires et Filières,,,"
B00606008,",,,"
B00605817,"Filière Agri Food,Filière Négoc Gouvernance Int,,"
B00684793,",,,"
B00726826,"Chaire Economie Urbaine,,,"
B00602816,",,,"
B00689728,",,,"
B00563190,",,,"
B00684606,",,,"
B00689334,",,,"
B00677793,"ESSEC Chaires et Filières,,,"
B00684821,"Chair Therapeutic Innovation,,,"
B00692087,"Chaire Economie Urbaine,,,"
B00696819,",,,"
B00684858,",,,"
B00674223,",,,"
B00689537,",,,"
B00602922,"Chaire Economie Urbaine,,,"
B00684631,",,,"
B00530419,"Chaire Entrepreneuriat Social,,,"
B00606487,"Chaire Economie Urbaine,,,"
B00684681,",,,"
B00697064,",,,"
B00605768,",,,"
B00693551,",,,"
B00703282,"Ch Mgmt Savoir-Faire Exception,,,"
B00604601,"Chaire Vente Stratégie Market.,Filière Négoc Gouvernance Int,,"
B00603836,",,,"
B00720570,"Filière Agri Food,,,"
B00702560,",,,"
B00676510,"ESSEC Chaires et Filières,,,"
B00690070,"Chaire LVMH,,,"
B00688062,",,,"
B00695047,",,,"
B00629000,"ESSEC Chaires et Filières,Filière conseil en stratégie,,"
B00684594,"Chaire Entrepreneuriat Social,,,"
B00689407,"Chaire Immob. Dévt. durable,Filière Immobilier-RICS,,"
B00697132,"Chaire Grande Consommation,,,"
B00684788,",,,"
B00676874,"ESSEC Chaires et Filières,,,"
B00693859,"ESSEC Chaires et Filières,,,"
B00684872,"Chaire Media & Entertainement,,,"
B00694703,",,,"
B00530833,",,,"
B00695281,"Filière Agri Food,,,"
B00715165,"ESSEC Chaires et Filières,,,"
B00605999,"Chaire Immob. Dévt. durable,,,"
B00465083,"Filière conseil en stratégie,,,"
B00685009,"Filière conseil en stratégie,,,"
B00529997,"ESSEC Chaires et Filières,Filière Agri Food,,"
B00603503,",,,"
B00693178,"Fil Business Analytics Methods,,,"
B00654939,"Chaire Digital Disruption,ESSEC Chaires et Filières,Filière Economie,"
B00692531,"ESSEC Chaires et Filières,,,"
B00604150,"Chaire ESSEC Santé,,,"
B00675132,",,,"
B00694013,"Chaire Entrepreneuriat Social,,,"
B00684674,"Chaire Leadership & Diversity,,,"
B00685318,"Filière Agri Food,,,"
B00650043,",,,"
B00683044,"Filière Economie,,,"
B00696726,",,,"
B00606591,",,,"
B00695842,"ESSEC Chaires et Filières,,,"
B00684936,"Chaire Grande Consommation,,,"
B00684734,"Chaire Digital Disruption,Filière Négoc Gouvernance Int,,"
B00684699,",,,"
